Annotation,cell_type,broadtype,CLID,agreement_score,correct_CLID
"endothelial cell, kupffer, dcn+ macrophages, plasmacytoid dendritic cell","endothelial cell, kupffer, plasmacytoid dendritic cell, dcn+ macrophages","endothelial cell, Kupffer cell, plasmacytoid dendritic cell, lung macrophage","CL:0000115, CL:0000091, CL:0000784, CL:1001603",1.0,"CL:0000115, CL:0000091, CL:0000784, CL:1001603"
"pro-erythroblast, erythroblast","erythroblast, pro-erythroblast","erythroblast, erythroblast","CL:0000765, CL:0000765",1.0,"CL:0000765, CL:0000765"
b cell,b cell,B cell,CL:0000236,1.0,CL:0000236
"hepatocyte, endothelial cell, plasmacytoid dendritic cell","endothelial cell, plasmacytoid dendritic cell, hepatocyte","endothelial cell, plasmacytoid dendritic cell, hepatocyte","CL:0000115, CL:0000784, CL:0000182",1.0,"CL:0000115, CL:0000784, CL:0000182"
"fibroblast, hepatic stellate cell, mesothelial cell","fibroblast, hepatic stellate cell, mesothelial cell","fibroblast, hepatic stellate cell, mesothelial cell","CL:0000057, CL:0000632, CL:0000077",1.0,"CL:0000057, CL:0000632, CL:0000077"
"endothelial cell, t cell","endothelial cell, t cell","endothelial cell, T cell","CL:0000115, CL:0000084",1.0,"CL:0000115, CL:0000084"
"natural killer cell, t cell","t cell, natural killer cell","T cell, natural killer cell","CL:0000084, CL:0000623",1.0,"CL:0000084, CL:0000623"
"cholangiocyte, endothelial cell, pro-erythroblast, hepatoblast","hepatoblast, endothelial cell, cholangiocyte, pro-erythroblast","hepatoblast, endothelial cell, cholangiocyte, erythroblast","CL:0005026, CL:0000115, CL:1000488, CL:0000765",1.0,"CL:0005026, CL:0000115, CL:1000488, CL:0000765"
"intermediate neutrophil, mature neutrophil, erythroblast","erythroblast, mature neutrophil, intermediate neutrophil","erythroblast, mature neutrophil, neutrophil","CL:0000765, CL:0000096, CL:0000775",1.0,"CL:0000765, CL:0000096, CL:0000775"
hepatocyte,hepatocyte,hepatocyte,CL:0000182,1.0,CL:0000182
